Visual_Q1,Visual_Q2,Visual_Q3,Auditory_Q1,Auditory_Q2,Auditory_Q3,Reading/Writing_Q1,Reading/Writing_Q2,Reading/Writing_Q3,Kinesthetic_Q1,Kinesthetic_Q2,Kinesthetic_Q3,Preferred_Style
3,2,1,2,2,2,1,1,3,5,4,4,Kinesthetic
3,2,1,2,3,3,2,1,1,5,4,4,Kinesthetic
5,5,4,3,2,1,2,3,3,2,2,2,Visual
4,5,4,2,2,1,1,2,3,1,2,1,Visual
3,2,3,2,3,3,4,3,2,3,3,3,Mixed
3,3,2,3,2,3,2,4,3,3,3,2,Mixed
2,3,2,1,3,3,1,1,3,4,5,5,Kinesthetic
4,5,3,1,3,2,2,1,2,2,3,1,Visual
3,2,3,1,2,2,5,5,4,2,1,2,Reading/Writing
4,5,5,1,1,2,1,1,1,3,2,3,Visual
1,1,1,2,1,3,2,2,1,5,4,4,Kinesthetic
1,2,3,4,5,5,2,3,2,2,2,2,Auditory
2,2,1,5,5,5,3,1,2,1,1,3,Auditory
4,5,4,3,1,2,2,3,3,1,2,3,Visual
2,3,1,1,1,3,1,1,1,4,3,5,Kinesthetic
1,1,1,5,5,5,1,2,2,2,3,3,Auditory
4,3,3,3,3,3,2,2,3,2,4,4,Mixed
3,1,3,3,1,3,4,5,4,2,1,2,Reading/Writing
1,2,2,4,4,4,1,1,2,2,1,2,Auditory
1,2,1,5,3,3,1,1,1,3,1,2,Auditory
2,3,2,2,1,1,4,4,3,2,3,2,Reading/Writing
1,1,1,1,2,2,2,1,1,5,5,4,Kinesthetic
1,1,1,3,2,1,2,2,2,5,5,5,Kinesthetic
4,3,3,3,2,4,4,3,3,3,3,3,Mixed
4,5,4,3,2,1,3,2,1,2,2,1,Visual
3,2,3,1,1,2,1,2,1,4,4,3,Kinesthetic
3,4,4,2,3,2,2,1,3,2,3,2,Visual
2,1,3,1,2,3,1,2,2,4,4,5,Kinesthetic
1,2,1,4,5,5,1,2,1,2,1,3,Auditory
1,2,1,1,2,1,4,5,3,1,1,1,Reading/Writing
1,1,2,5,5,4,2,1,1,2,2,2,Auditory
2,2,2,2,2,1,2,2,2,4,5,3,Kinesthetic
1,1,3,1,1,2,5,4,5,2,1,1,Reading/Writing
3,3,3,4,2,4,3,2,3,2,4,2,Mixed
1,1,1,3,2,2,2,3,2,5,4,4,Kinesthetic
1,1,1,5,3,5,1,1,2,3,3,1,Auditory
3,2,1,3,3,1,5,5,4,2,3,1,Reading/Writing
4,4,3,2,1,1,2,1,2,1,2,2,Visual
3,2,4,2,2,3,2,3,3,4,3,3,Mixed
1,1,1,3,1,2,2,1,1,5,5,4,Kinesthetic
2,2,1,1,1,2,2,2,2,4,5,5,Kinesthetic
2,3,2,4,4,3,3,3,2,3,2,3,Mixed
2,3,3,2,4,2,3,3,2,3,3,3,Mixed
2,1,3,2,3,1,5,4,5,1,1,1,Reading/Writing
3,2,1,2,1,1,1,1,2,5,4,5,Kinesthetic
2,2,2,3,1,1,1,2,1,3,4,5,Kinesthetic
1,1,3,2,1,1,5,5,3,3,2,2,Reading/Writing
4,3,4,2,3,3,4,2,3,3,2,4,Mixed
2,3,2,2,3,2,3,4,2,3,2,4,Mixed
2,2,1,5,3,5,1,2,1,3,1,1,Auditory
1,2,1,4,4,5,1,1,1,1,3,2,Auditory
2,1,1,1,1,3,4,5,4,1,1,1,Reading/Writing
4,4,5,2,1,2,2,2,3,2,3,1,Visual
3,3,3,3,2,3,3,3,4,3,3,2,Mixed
3,2,3,2,3,3,3,2,3,3,3,3,Mixed
3,5,5,2,1,3,2,1,3,3,2,3,Visual
2,2,2,1,2,2,2,2,2,5,5,3,Kinesthetic
1,1,2,2,1,1,1,3,1,4,5,5,Kinesthetic
4,4,5,2,3,3,1,3,1,1,1,2,Visual
2,1,3,2,3,1,1,2,2,3,3,3,Kinesthetic
1,2,2,3,2,2,2,1,3,4,4,4,Kinesthetic
5,5,4,3,2,1,3,2,3,3,1,1,Visual
3,1,2,1,1,2,4,3,4,3,3,2,Reading/Writing
2,2,2,2,2,2,2,1,3,5,4,5,Kinesthetic
1,2,1,3,2,3,1,2,3,3,4,4,Kinesthetic
2,2,3,2,2,1,2,2,2,4,5,4,Kinesthetic
2,2,2,3,1,2,2,2,2,5,4,5,Kinesthetic
2,1,2,1,2,1,3,2,2,5,4,5,Kinesthetic
2,1,3,3,2,3,5,5,4,1,1,1,Reading/Writing
2,1,1,5,5,5,1,2,3,2,1,1,Auditory
3,3,1,3,3,2,2,2,2,4,5,5,Kinesthetic
3,1,2,3,2,3,3,2,2,5,5,5,Kinesthetic
2,1,1,4,3,5,2,2,2,1,3,3,Auditory
5,3,5,2,1,1,2,1,2,2,2,3,Visual
2,2,1,4,4,5,3,3,1,2,2,3,Auditory
3,2,3,2,3,3,4,3,2,4,3,2,Mixed
4,2,2,4,2,3,2,3,2,3,2,2,Mixed
3,4,4,2,4,3,3,3,4,2,3,3,Mixed
2,1,1,3,3,2,5,4,5,2,2,1,Reading/Writing
3,3,2,5,4,5,1,3,1,2,2,1,Auditory
1,2,3,2,2,1,5,4,3,3,3,2,Reading/Writing
2,3,2,4,3,4,2,2,3,3,1,3,Auditory
1,2,2,5,5,4,2,1,1,1,2,1,Auditory
4,3,3,3,2,4,3,3,3,3,2,4,Mixed
1,2,3,5,4,4,2,1,1,1,3,2,Auditory
1,1,1,1,3,1,4,5,5,1,1,3,Reading/Writing
4,4,3,3,3,4,4,3,3,3,4,2,Mixed
1,2,2,2,1,1,4,4,4,3,1,1,Reading/Writing
3,3,2,3,4,2,3,2,3,2,3,2,Mixed
2,3,3,4,3,3,3,3,4,3,3,4,Mixed
3,4,2,2,4,2,3,4,3,3,2,3,Mixed
3,2,3,3,2,4,3,4,3,3,3,3,Mixed
2,3,2,3,2,3,3,3,2,2,2,4,Mixed
4,5,4,1,3,1,2,2,3,2,2,1,Visual
2,4,3,2,3,2,3,2,3,3,4,2,Mixed
5,3,5,1,3,1,3,2,2,1,1,1,Visual
2,2,3,5,4,5,2,3,1,1,1,1,Auditory
5,5,5,2,3,3,1,1,2,2,1,2,Visual
1,3,1,2,2,2,5,4,4,2,1,2,Reading/Writing
2,3,3,4,4,3,3,1,2,1,1,2,Auditory
1,3,3,1,2,3,5,4,4,3,2,2,Reading/Writing
2,3,3,3,4,4,3,3,3,2,4,2,Mixed
2,2,2,4,3,2,3,3,3,2,3,2,Mixed
